,index,place name,reviewer,score,useravg,comment
8329,45897,이솔라,npof1iv2zoe3nr4o,3.0,3.9,"한강 바로 옆에서 음식을 즐길 수 있어요. 단연, 분위기가 좋아요. 볼로네제 파스타랑 오징어먹물크림파스타 시켰는데, 오징어먹물크림파스타 강추요!! 면도 딱 잘 삶아졌고, 소스도 많이 느끼하지 않고 맛있어요 :)
운동하느라 주말에 예약없이 그냥 들어갔는데, 약간 대기 하고 앉아서 먹었어요! 예약하면 그냥 들어갈 수 있을 듯 합니다.

"
8330,45897,이솔라,홈,2.0,3.0,"자리값인지 음식은 그저그런 것 같아요.
"
8331,45897,이솔라,high,5.0,2.5,"한강 놀러갔다가 찾아보지 않고 들어간건데 맛있었다. 공휴일인데도 좀 이른저녁으로 먹었더니 웨이팅도 없었다. 기대도, 기다림도 없어서 더 만족스러웠는지도 모르겠다.
스테이크는 항상 미디움레어로 먹는데, 피가 흘러내리지 않게(요리사의 실력) 잘 구워져 나왔고 부드러웠다. 랍스터도 달고 맛있고 잘 발라졌다. 전복은 너무 딱딱하지도 너무 무르지도 않고 적당한 씹는맛에, 풍미가 있었다.
직원들 서비스도 좋았다. 개인적으로 너무 굽신거리지 않으면서 친절한 서비스를 좋아한다. 우리 뒤로 세팀정도 이후에는 웨이팅을 하는것 같았다. 우리가 먹을때도 대부분 예약테이블이긴했다. 원하는 시간에 좋은 좌석에 앉으려면 예약을 해야하나보다. 다음번엔 예약으로 또 오고싶다.

"
8332,45897,이솔라,장성오,1.0,1.6,"다시가고는  싶지 않네요
"
8333,45897,이솔라,하승,1.0,3.1,"전화예약하는데 장사가 잘 되는지 응대 매너가 별로네요.
"
8334,45897,이솔라,전성민,1.0,2.6,"예약하려고 전화했는데 응대하시는 매너가 영 아니네요..동네 중국집보다 못 해요
"
8335,45897,이솔라,포커페이스,3.0,3.4,
8336,45897,이솔라,아지맘,4.0,3.2,"분위기  도 좋고  음식도 맛나요
"
8337,45899,몬드리안 서울이태원 클레오,Serena.L,5.0,3.3,"강남에 있는 어느 호텔보다도 친절 ㅜ그부분  넘조음
"
8338,45899,몬드리안 서울이태원 클레오,평,3.0,3.1,"맛은 괜찮은데 서비스에 비해 가격이 비싸다 
세비체는 비려서 고기류 추천
"
8339,45899,몬드리안 서울이태원 클레오,js,1.0,1.0,"여기는 계산해주는 싸가지 여직원의 불친절말고는 나무랄데가 없다.
"
